timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvData_sum_o186i221,PortXmitPkts_sum_o186i221,PortRcvPkts_sum_o186i221,PortXmitWait_sum_o186i221,PortXmitData_sum_o186i221,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortRcvData_sum_o186i222,PortXmitPkts_sum_o186i222,PortRcvPkts_sum_o186i222,PortXmitWait_sum_o186i222,PortXmitData_sum_o186i222,PortXmitWait_sum_aggregate,PortXmitPkts_sum_aggregate,PortRcvData_sum_aggregate,PortXmitData_sum_aggregate,PortRcvPkts_sum_aggregate
0,1128169,1414498,17010,21652,0,1106445,1406564,16306,21349,0,1103104,1402574,16072,21094,0,1113866,1413792,16630,21665,0,5637428,66018,85760,0,4451584,1098304,1397763,15620,20642,0,1320111,1619801,19094,24119,0,1583112,1829474,23166,27152,0,1323590,1655911,19348,25007,0,6502949,77228,96920,0,5325117,0,143246,12140377,9776701,182680
1,2608,2080,55,39,0,1080,1080,15,15,0,576,576,8,8,0,792,792,11,11,0,4528,89,73,0,5056,360,360,5,5,0,864,864,12,12,0,2196,1466,44,27,0,504,796,7,13,0,3486,68,57,0,3924,0,157,8014,8980,130
2,360,360,5,5,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,1944,27,27,0,1944,360,360,5,5,0,1008,1008,14,14,0,576,576,8,8,0,360,360,5,5,0,2304,32,32,0,2304,0,59,4248,4248,59
3,1615,1295,31,24,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3797,66,59,0,4153,729,711,10,10,0,1080,1080,15,15,0,1831,1347,34,23,0,873,1019,12,16,0,4157,71,64,0,4513,0,137,7954,8666,123
4,2654,2063,54,40,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,4565,89,75,0,5192,576,576,8,8,0,1224,1224,17,17,0,4319,3282,77,54,0,729,1067,10,18,0,6149,112,97,0,6848,0,201,10714,12040,172
5,1574,1271,39,29,0,864,864,12,12,0,360,360,5,5,0,374,396,7,7,0,2891,63,53,0,3172,360,360,5,5,0,864,864,12,12,0,1790,1131,42,24,0,504,860,7,15,0,3215,66,56,0,3518,0,129,6106,6690,109
6,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,71,63,0,3896,801,783,11,11,0,1224,1224,17,17,0,1430,915,37,21,0,801,1139,11,19,0,4061,76,68,0,4256,0,147,7762,8152,131
7,1358,1199,36,28,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,3431,67,59,0,3590,648,648,9,9,0,1080,1080,15,15,0,1574,1059,39,23,0,648,1004,9,17,0,3791,72,64,0,3950,0,139,7222,7540,123
8,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,736,729,11,11,0,3719,72,64,0,3903,1944,1952,27,27,0,1224,1304,17,18,0,1583,1130,39,24,0,801,1219,11,20,0,5605,94,89,0,5552,0,166,9324,9455,153
9,1142,1063,33,26,0,871,962,13,14,0,360,440,5,6,0,360,440,5,6,0,2905,56,52,0,2733,367,378,6,6,0,864,864,12,12,0,1358,843,36,20,0,432,788,6,14,0,2873,60,52,0,3021,0,116,5778,5754,104
10,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,59,51,0,3032,747,718,11,11,0,1008,1008,14,14,0,1430,915,37,21,0,585,923,8,16,0,3564,70,62,0,3770,0,129,6401,6802,113
11,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,55,47,0,2726,360,360,5,5,0,1080,1080,15,15,0,1358,843,36,20,0,655,1022,10,18,0,3305,66,58,0,3453,0,121,5872,6179,105
12,1574,1415,39,31,0,1296,1296,18,18,0,963,934,14,14,0,945,927,13,13,0,4572,84,76,0,4778,792,792,11,11,0,1440,1440,20,20,0,1799,1266,42,26,0,1017,1355,14,22,0,4853,87,79,0,5048,0,171,9425,9826,155
13,1142,983,33,25,0,885,918,15,15,0,360,360,5,5,0,360,360,5,5,0,2621,58,50,0,2747,360,360,5,5,0,936,936,13,13,0,1358,843,36,20,0,432,788,6,14,0,2927,60,52,0,3086,0,118,5548,5833,102
14,1160,990,34,26,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2844,60,52,0,3050,513,495,7,7,0,936,936,13,13,0,1286,771,35,19,0,585,923,8,16,0,3125,63,55,0,3320,0,123,5969,6370,107
15,1142,983,33,25,0,963,963,14,14,0,473,495,9,9,0,576,565,10,10,0,3006,66,58,0,3154,792,792,11,11,0,1368,1368,19,19,0,1718,1203,41,25,0,864,1220,12,20,0,4583,83,75,0,4742,0,149,7589,7896,133
16,1797,1649,43,35,0,1512,1512,21,21,0,1161,1143,16,16,0,1161,1143,16,16,0,5447,96,88,0,5631,576,576,8,8,0,1159,1170,17,17,0,1662,1140,41,25,0,801,1139,11,19,0,4025,77,69,0,4198,0,173,9472,9829,157
17,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,55,47,0,2726,367,378,6,6,0,936,936,13,13,0,1286,771,35,19,0,504,860,7,15,0,2945,61,53,0,3093,0,116,5512,5819,100
18,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,59,51,0,3032,513,495,7,7,0,936,936,13,13,0,1286,771,35,19,0,675,1002,10,18,0,3204,65,57,0,3410,0,124,6041,6442,108
19,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,55,47,0,2726,576,576,8,8,0,1152,1152,16,16,0,1502,987,38,22,0,2016,2300,28,35,0,5015,90,81,0,5246,0,145,7582,7972,128
20,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,71,63,0,3896,576,576,8,8,0,1152,1152,16,16,0,1727,1194,41,25,0,801,1139,11,19,0,4061,76,68,0,4256,0,147,7762,8152,131
21,1412,1220,39,31,0,1152,1108,19,19,0,612,590,10,10,0,648,604,12,12,0,3522,80,72,0,3824,360,360,5,5,0,1008,1008,14,14,0,1214,699,34,18,0,432,788,6,14,0,2855,59,51,0,3014,0,139,6377,6838,123
22,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,71,63,0,3896,513,495,7,7,0,864,864,12,12,0,1358,843,36,20,0,592,941,9,17,0,3143,64,56,0,3327,0,135,6844,7223,119
23,1142,983,33,25,0,936,936,13,13,0,360,360,5,5,0,360,360,5,5,0,2639,56,48,0,2798,576,576,8,8,0,1224,1224,17,17,0,1502,987,38,22,0,648,1004,9,17,0,3791,72,64,0,3950,0,128,6430,6748,112
24,1574,1415,39,31,0,1224,1224,17,17,0,945,927,13,13,0,801,783,11,11,0,4349,80,72,0,4544,576,576,8,8,0,1080,1080,15,15,0,1655,1122,40,24,0,873,1211,12,20,0,3989,75,67,0,4184,0,155,8338,8728,139
25,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,504,504,7,7,0,2711,57,49,0,2870,576,576,8,8,0,1224,1224,17,17,0,1502,987,38,22,0,576,932,8,16,0,3719,71,63,0,3878,0,128,6430,6748,112
26,1376,1206,37,29,0,1098,1087,16,16,0,729,711,10,10,0,729,711,10,10,0,3715,73,65,0,3932,513,495,7,7,0,864,864,12,12,0,1286,771,35,19,0,657,995,9,17,0,3125,63,55,0,3320,0,136,6840,7252,120
27,2064,1822,60,48,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,4054,91,79,0,4296,576,576,8,8,0,1224,1224,17,17,0,1502,987,38,22,0,576,932,8,16,0,3719,71,63,0,3878,0,162,7773,8174,142
28,1454,3385,40,83,0,1080,3305,15,71,0,729,2936,10,66,0,729,2936,10,66,0,12562,75,286,0,3992,576,2801,8,64,0,1080,3305,15,71,0,1766,3380,42,80,0,873,3436,12,76,0,12922,77,291,0,4295,0,152,25484,8287,577
29,1161,983,34,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,60,51,0,3051,513,495,7,7,0,1008,1008,14,14,0,1920,966,58,30,0,585,1279,8,24,0,3748,87,75,0,4026,0,147,6585,7077,126
